46,638
84,638
121,638
46,563
84,563
121,563
46,460
46,423
78,468
78,457
78,446
78,436
78,425
78,415
102,468
102,457
102,446
102,436
102,425
102,415
127,468
127,457
127,446
127,436
127,425
127,415
84,313
121,313
84,275
121,275
84,238
121,238
84,200
121,200
1195,638
1158,638
1120,638
1195,563
1158,563
1120,563
1195,460
1195,423
1163,468
1163,457
1163,446
1163,436
1163,425
1163,415
1139,468
1139,457
1139,446
1139,436
1139,425
1139,415
1115,468
1115,457
1115,446
1115,436
1115,425
1115,415
1158,313
1120,313
1158,275
1120,275
1158,238
1120,238
1158,200
1120,200
196,160
196,40
341,160
341,145
341,130
341,115
341,100
341,85
341,70
341,55
341,40
421,160
481,160
541,160
421,40
481,40
541,40
945,42
945,162
800,42
800,57
800,72
800,87
800,102
800,117
800,132
800,147
800,162
720,42
660,42
600,42
720,162
660,162
600,162
